exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-all,er_ace,uwave,2,54,resnet18_cifar,0.01,6,0.0005613774110310638,465.0604666520376,466206.625,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03921004125524113,503.82373046875,0.9908814589665653,0.9918032786885246,1.0,1.0,0.9818181818181818,0.984251968503937
uwave-all,er_ace,uwave,2,56,resnet18_cifar,0.05,6,0.02348708846236593,444.675767383771,445721.375,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.040701332701636214,503.82373046875,0.9908814589665653,0.9508196721311475,1.0,1.0,0.990909090909091,0.9291338582677166
uwave-all,er_ace,uwave,3,48,resnet18_cifar,0.05,6,0.0006566385664678912,442.36041567323264,443412.625,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0421802185103713,498.9375,0.9911764705882353,0.968503937007874,1.0,0.972972972972973,0.9545454545454546,1.0
uwave-all,er_ace,uwave,3,50,resnet18_cifar,0.05,6,0.0003728735907612205,441.3081386251142,442379.75,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04347514381411851,498.9375,0.9970588235294118,0.9921259842519685,1.0,0.972972972972973,0.9727272727272728,1.0
uwave-all,er_ace,uwave,3,52,resnet18_cifar,0.05,6,0.003588408395860683,424.146103802952,425290.1875,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0391498026926586,498.9375,0.9823529411764705,0.9921259842519685,0.99,0.9819819819819819,0.9454545454545454,1.0
uwave-all,er_ace,uwave,3,54,resnet18_cifar,0.05,6,0.00030840090126763004,421.47202769992873,422501.09375,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04041098119549653,498.9375,1.0,0.984251968503937,0.99,0.9819819819819819,0.9727272727272728,1.0
uwave-all,er_ace,uwave,3,56,resnet18_cifar,0.1,6,0.015442011934574559,434.69671638996806,435754.84375,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.046087892899647286,498.9375,0.9882352941176471,0.9921259842519685,0.99,0.9819819819819819,0.9363636363636364,1.0
uwave-all,fecam,uwave,1,48,resnet18_cifar,0.1,6,0.013791515587583092,375.1066552490229,376230.46875,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.042242862816367834,500.07373046875,0.9610027855153204,0.9821428571428571,0.9369369369369369,0.9811320754716981,0.98,1.0
uwave-all,fecam,uwave,1,50,resnet18_cifar,0.1,6,0.01834318195695878,376.4756214331137,377622.4375,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03849256362238001,500.07373046875,0.9777158774373259,1.0,0.918918918918919,0.9433962264150944,0.97,1.0
uwave-all,fecam,uwave,1,52,resnet18_cifar,0.05,6,0.003837161706254824,373.45440252206754,374684.53125,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03852019173271921,500.07373046875,0.9693593314763231,1.0,0.954954954954955,1.0,1.0,1.0
uwave-all,fecam,uwave,1,54,resnet18_cifar,0.1,6,0.013554959352549929,373.9853597750189,375103.5,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.038557295608500554,500.07373046875,0.9777158774373259,1.0,0.954954954954955,1.0,0.99,1.0
uwave-all,fecam,uwave,1,56,resnet18_cifar,0.1,6,0.038846578900372096,374.81436570885126,375935.875,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.038226047763600945,500.07373046875,0.9554317548746518,1.0,0.8918918918918919,0.9811320754716981,0.99,0.9629629629629629
uwave-all,fecam,uwave,2,48,resnet18_cifar,0.1,6,0.03928272243971884,381.43589447892737,382572.75,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.038168053574086765,499.705078125,0.9878419452887538,0.9918032786885246,0.98,1.0,1.0,0.8740157480314961
uwave-all,fecam,uwave,2,50,resnet18_cifar,0.05,6,0.00031154889377829316,383.1488758160267,384296.21875,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04007367091877053,499.705078125,0.9908814589665653,0.9836065573770492,0.99,1.0,0.9818181818181818,0.9763779527559056
uwave-all,fecam,uwave,2,52,resnet18_cifar,0.05,6,0.0004286625896421137,381.79224140092265,382898.1875,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04223839758716557,499.705078125,0.9422492401215805,0.9836065573770492,0.99,1.0,0.9818181818181818,0.968503937007874
uwave-all,fecam,uwave,2,54,resnet18_cifar,0.1,6,0.0242658953807961,382.1168063910445,383253.6875,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03933213819047004,499.705078125,0.9726443768996961,0.9836065573770492,0.98,1.0,0.9545454545454546,0.9763779527559056
uwave-all,fecam,uwave,2,56,resnet18_cifar,0.1,6,0.04048973011577815,442.18700083193835,443366.1875,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04577176007712426,499.705078125,0.9908814589665653,0.9754098360655737,0.99,1.0,0.9818181818181818,1.0
uwave-all,fecam,uwave,3,48,resnet18_cifar,0.1,6,0.026168618698582044,464.99258621409535,466167.21875,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0475953793284134,500.25,0.9911764705882353,0.9921259842519685,0.98,0.963963963963964,0.9636363636363636,1.0
uwave-all,fecam,uwave,3,50,resnet18_cifar,0.1,6,0.021412160734285663,464.9475662410259,466123.0,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04336340628339842,500.25,0.9911764705882353,0.984251968503937,0.98,0.972972972972973,0.9636363636363636,1.0
uwave-all,fecam,uwave,3,52,resnet18_cifar,0.1,6,0.022078430879131035,461.2510164161213,462388.96875,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04559678992726341,500.25,0.9882352941176471,0.9763779527559056,0.84,0.963963963963964,0.9545454545454546,1.0
uwave-all,fecam,uwave,3,54,resnet18_cifar,0.1,6,0.0479292686870566,460.5631062530447,461701.875,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04466361289295102,500.25,0.9882352941176471,0.937007874015748,1.0,0.963963963963964,0.9727272727272728,0.9907407407407407
uwave-all,fecam,uwave,3,56,resnet18_cifar,0.1,6,0.015442011934574559,458.16070583090186,459313.53125,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.04372049664068202,500.25,0.9882352941176471,0.9921259842519685,0.99,0.9819819819819819,0.9363636363636364,1.0
uwave-all,tagfex,uwave,1,48,resnet18_cifar,0.05,6,0.0008207853981622639,373.14863175107166,374131.40625,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.041481425276807773,499.5625,0.9693593314763231,1.0,0.9459459459459459,0.9905660377358491,0.99,1.0
uwave-all,tagfex,uwave,1,50,resnet18_cifar,0.05,6,0.0007239883544057658,372.96822335303295,373952.28125,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03750695551778855,499.5625,0.9721448467966574,1.0,0.9369369369369369,1.0,1.0,1.0
uwave-all,tagfex,uwave,1,52,resnet18_cifar,0.05,6,0.003837161706254824,370.79971360892523,371784.34375,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03638766416510667,499.5625,0.9693593314763231,1.0,0.954954954954955,1.0,1.0,1.0
uwave-all,tagfex,uwave,1,54,resnet18_cifar,0.05,6,0.0005900350262067477,370.8092964559328,371844.03125,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03955024762295319,499.5625,0.9777158774373259,1.0,0.9279279279279279,1.0,1.0,1.0
uwave-all,tagfex,uwave,1,56,resnet18_cifar,0.05,6,0.002661597776868381,371.87181924504694,372882.6875,20068419258.308323,982348873404878,982348873404878,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03690233123571878,499.5625,0.9805013927576601,1.0,0.9099099099099099,1.0,0.99,1.0
uwave-all,tagfex,uwave,2,48,resnet18_cifar,0.05,6,0.0052282323056609915,377.7686346868286,378752.375,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.040894654245805996,500.5625,0.9908814589665653,0.9672131147540983,0.99,1.0,0.9818181818181818,0.9606299212598425
uwave-all,tagfex,uwave,2,50,resnet18_cifar,0.01,6,0.0005544187302627335,379.41150939220097,380400.03125,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05990270983602386,500.5625,0.9878419452887538,0.9754098360655737,0.99,1.0,0.9818181818181818,0.9763779527559056
uwave-all,tagfex,uwave,2,52,resnet18_cifar,0.05,6,0.0004286625896421137,390.180838008062,391772.65625,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.041036129654717764,500.5625,0.9422492401215805,0.9836065573770492,0.99,1.0,0.9818181818181818,0.968503937007874
uwave-all,tagfex,uwave,2,54,resnet18_cifar,0.01,6,0.0005613774110310638,373.9347909289645,374912.21875,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.038000588184721504,500.5625,0.9908814589665653,0.9918032786885246,1.0,1.0,0.9818181818181818,0.984251968503937
uwave-all,tagfex,uwave,2,56,resnet18_cifar,0.05,6,0.02348708846236593,375.08909885108005,376080.78125,20068477009.399845,990980925510718,990980925510718,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.041277471999429896,500.5625,0.9908814589665653,0.9508196721311475,1.0,1.0,0.990909090909091,0.9291338582677166
uwave-all,tagfex,uwave,3,48,resnet18_cifar,0.05,6,0.0006566385664678912,378.1354817159008,379134.03125,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.037313571348412164,498.080078125,0.9911764705882353,0.968503937007874,1.0,0.972972972972973,0.9545454545454546,1.0
uwave-all,tagfex,uwave,3,50,resnet18_cifar,0.05,6,0.0003728735907612205,376.3268836371135,377321.625,20068391462.83941,985491929361658,985491929361658,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.03953479128020782,498.080078125,0.9970588235294118,0.9921259842519685,1.0,0.972972972972973,0.9727272727272728,1.0
