exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc
uwave-5method,fecam,uwave,3,66,resnet18_cifar,0.05,6,0.0003559571828950292,365.41741173999617,366553.21875,20068485183.470287,994660311337938,994660311337938,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.036535621607721884,501.580078125,0.9969135802469136,0.972972972972973,1.0,1.0,0.9754098360655737,0.9921259842519685
uwave-5method,cwr_star,uwave,1,62,resnet18_cifar,0.05,6,0.00044626548738358726,523.1745969498879,524368.125,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05529447311606158,500.25,0.9941348973607038,1.0,1.0,1.0,0.9727272727272728,0.9905660377358491
uwave-5method,cwr_star,uwave,1,63,resnet18_cifar,0.01,6,0.0005974359036525186,522.8339437299874,524026.03125,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05279388830915975,500.25,0.9912023460410557,1.0,1.0,1.0,0.9636363636363636,1.0
uwave-5method,cwr_star,uwave,1,64,resnet18_cifar,0.05,6,0.0005690167692936083,522.2400527119753,523451.5625,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.0531538549434377,500.25,0.9912023460410557,1.0,1.0,1.0,0.990909090909091,1.0
uwave-5method,cwr_star,uwave,1,65,resnet18_cifar,0.01,6,0.0005951316130923712,517.9652562740375,519139.34375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05369254456257165,500.25,0.9882697947214076,1.0,1.0,1.0,0.9636363636363636,0.9905660377358491
uwave-5method,cwr_star,uwave,1,66,resnet18_cifar,0.1,6,0.05034040702930181,517.0326402109931,518200.09375,20068392918.36144,985224434710458,985224434710458,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05790442959810856,500.25,0.9589442815249267,0.9921259842519685,0.99,1.0,0.8636363636363636,0.9528301886792453
uwave-5method,cwr_star,uwave,2,62,resnet18_cifar,0.1,6,0.044519709300464054,528.6868024349096,529857.5,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05654078911123049,499.07421875,0.9840764331210191,0.9553571428571429,0.9921259842519685,0.972972972972973,0.9090909090909091,0.9344262295081968
uwave-5method,cwr_star,uwave,2,63,resnet18_cifar,0.1,6,0.022658852364250165,536.0446685481002,537215.0,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05096022420860079,499.07421875,0.9968152866242038,0.7678571428571429,0.952755905511811,0.9099099099099099,0.9727272727272728,0.9836065573770492
uwave-5method,cwr_star,uwave,2,64,resnet18_cifar,0.1,6,0.012743770962582078,540.9510872940882,542092.875,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.052187808056000255,499.07421875,0.9872611464968153,1.0,0.9763779527559056,0.9819819819819819,0.990909090909091,0.9836065573770492
uwave-5method,cwr_star,uwave,2,65,resnet18_cifar,0.05,6,0.0003716042356946236,506.88970820984105,508048.71875,20068489541.685173,993189089523538,993189089523538,0,1113554952,44691744,38560,44691744,89422048,85.27951049804688,0.05081111274713684,499.07421875,1.0,1.0,0.968503937007874,0.9819819819819819,0.9727272727272728,0.9672131147540983
