exp_name,method,dataset,order,seed,backbone,best_lr,tasks,final_epoch_train_loss,training_runtime_s,training_gpu_ms,terminal_flops_per_sample,overall_learning_flops,core_training_flops,learning_auxiliary_flops,single_sample_forward_flops,model_parameter_bytes,model_buffer_bytes,optimizer_state_bytes,persistent_storage_bytes,persistent_storage_mib,inference_latency_ms_per_sample,peak_allocated_gpu_memory_mib,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,task_6_acc,task_7_acc,task_8_acc,task_9_acc,task_10_acc
texture-all,icarl,texture,2,56,resnet18_cifar,0.1,10,0.035976620173702636,240.98827143604285,243018.8125,1150091422652.1619,13796495243387090,13796495243387090,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42422771257406566,10092.2333984375,0.9629629629629629,0.44,0.8947368421052632,1.0,1.0,1.0,0.9130434782608695,0.0,0.7619047619047619,0.6111111111111112
texture-all,icarl,texture,3,52,resnet18_cifar,0.05,10,0.0014814594585914164,245.77611714106752,247833.0,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4279624916913842,10091.82177734375,1.0,1.0,0.0,1.0,1.0,0.8888888888888888,0.9130434782608695,1.0,1.0,1.0
texture-all,icarl,texture,3,53,resnet18_cifar,0.05,10,0.00822936553352823,245.76257459702902,247844.65625,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42636387527939706,10091.82177734375,1.0,1.0,0.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.8,1.0
texture-all,icarl,texture,3,54,resnet18_cifar,0.1,10,0.05862038042396307,246.83602310501738,248923.3125,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4271293915129111,10091.82177734375,0.9836065573770492,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
texture-all,icarl,texture,3,55,resnet18_cifar,0.05,10,0.01427044291049242,250.7296318640001,252820.90625,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4267639415047597,10091.82177734375,1.0,1.0,1.0,1.0,0.3333333333333333,0.4444444444444444,1.0,0.47619047619047616,1.0,1.0
texture-all,icarl,texture,3,56,resnet18_cifar,0.1,10,0.11633991729468107,250.21335533101228,252318.21875,1150091306722.209,13837898138308210,13837898138308210,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.42734303351608105,10091.82177734375,0.639344262295082,1.0,0.8823529411764706,0.5238095238095238,0.16666666666666666,1.0,0.8695652173913043,1.0,1.0,0.9411764705882353
texture-all,er_ace,texture,1,52,resnet18_cifar,0.1,10,0.06256453460082412,232.46575796502293,234483.953125,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4231713708577445,10093.25,1.0,0.68,0.0,1.0,1.0,1.0,0.6111111111111112,1.0,1.0,1.0
texture-all,er_ace,texture,1,53,resnet18_cifar,0.05,10,0.00268083744449541,234.69053871303913,236724.671875,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4226705042431907,10093.25,1.0,1.0,1.0,0.0,1.0,0.9444444444444444,1.0,1.0,1.0,1.0
texture-all,er_ace,texture,1,54,resnet18_cifar,0.1,10,0.009339644480496645,234.50009510698146,236520.890625,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4227566956008862,10093.25,0.4696969696969697,0.0,0.5294117647058824,0.0,1.0,0.4444444444444444,0.4444444444444444,1.0,1.0,1.0
texture-all,er_ace,texture,1,55,resnet18_cifar,0.05,10,0.000915173813700676,234.98459692296456,237012.71875,1150091356495.2095,13709087807426650,13709087807426650,0,38301453324,44699952,38560,44699952,89438464,85.295166015625,0.4236685292805002,10093.25,0.8484848484848485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
